# Tipo: Cad(10), Pro(20), Rel(30), Fro-Front-end only(40) only, Bac-Backend only(50)
NOME,TIPO,DESCRIÇÃO
ROT4001,Fro,Splash Screen - Frontend - Utilizada para fazer o redirecionamento inicial do cliente
CAS2010,Pro,Login
CGS1080,Cad,Entidade
SCF2010,Pro,Enviar boletos ao Banco
SCF2011,Pro,Processar retorno de boletos
SCF5001,Bac,API
SRF2030,Pro,Importar documentos
SRF2050,Pro,Gerar XML NFSe Prefeitura
SRF2051,Pro,Processar retorno NFSe Prefeitura
SRF2060,Pro,Enviar e-mail dos documentos
SRF5001,Bac,"API - Utilizado para consultar dos sistemas externos (MultiNFe, TFS4, etc)"
